name,scholarship_type,eligible_region,description,eligibility,funding_amount,deadline,contact,application_url,source,url,data_quality_score,scrape_date
"East Asian Circle of Applied Technology Graduate Scholarship in Japan, 2018",Merit-Based,International,"­Applications are invited for East Asian Circle of Applied Technology Foundation Scholarship for International Asian Students at the University of Tokyo in Japan. Scholarships are available to pursue graduate degree programme. The University of Tokyo abbreviated as Todai or UTokyo, is a public research university located in Bunkyo, Tokyo, often cited as the most prestigious university in Japan. Academic Ranking of World Universities ranked the University of Tokyo 1st in Asia and 20th in the worl",Nationality: Students from Asian countries are eligible Number of Scholarships: Numbers not given,"Amount: 30,000",N/A,Applicants must submit the following documents directly to the foundation.,https://scholarship-positions.com/east-asian-circle-of-applied-technology-graduate-scholarship-in-japan/2017/12/19/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,83.33,2025-11-23T16:23:24.878557
"South Asian Scholarships at Edinburgh Napier University in UK, 2019",General,Sri Lanka,"The Edinburgh Napier University is offering partial scholarships for self-funding students from Afghanistan, India, Pakistan, Bangladesh, Nepal or Sri Lanka. Scholarships are awarded to study a bachelor, masters or PhD course in September 2018 or January 2019. The University has partial scholarships for self-funding students from Afghanistan, India, Pakistan, Bangladesh, Nepal or Sri Lanka. Edinburgh Napier University is a public university in Edinburgh, Scotland. Napier Technical College, the p","Number of Scholarships: Not given Scholarship can be taken in the UK Eligibility for the Scholarship: Eligible Countries: Students from Afghanistan, India, Pakistan, Bangladesh, Nepal or Sri Lanka En",N/A,N/A,"The scholarships will be awarded on a first-come, first-served basis. You will be automatically cons",https://scholarship-positions.com/south-asian-scholarships-edinburgh-napier-university-uk/2017/12/11/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:23:37.513509
"Kings Scholarship at Asian Institute of Technology in Thailand, 2018",Need-Based,Unknown,"The Asian Institute of Technology is offering Kings Scholarship for students of diverse background from all countries in Asia to study. The scholarship is available for pursuing Masters programme. The aim of the scholarship is to provide financial help to the Thailand and other Asian countries students. The Asian Institute of Technology promotes technological change and sustainable development in the Asian-Pacific region through higher education, research and outreach.","Number of Scholarships: Not given Scholarship can be taken in Thailand Eligibility for the Scholarship: Eligible Countries: Thailand Afghanistan, Armenia, Azerbaijan, Bahrain, Bangladesh, Bhutan, B",N/A,N/A,for this scholarship.,https://scholarship-positions.com/kings-scholarship/2017/11/23/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:23:49.756457
"International Undergraduate Scholarship at Edith Cowan University in Australia, 2023",General,International,Edith Cowan University is offering International Undergraduate Scholarships for high-potential students in Australia. The scholarship offers a 20% reduction in tuition fees for the duration of the course at ECU. This program is open for commencing international students who are from selected countries and want to apply for abachelor degree programat ECU in 2023. Summary,"Application Deadline: Mar 3rd, 2023 Brief Description University or Organization: Edith Cowan University Department: NA Course Level: Undergraduate degree program Award: 20% reduction in tuition fees",Award: 20,N/A,for a bachelor degree program at ECU in 2023.,https://scholarship-positions.com/international-undergraduate-scholarship-edith-cowan-university-australia/2017/11/16/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,83.33,2025-11-23T16:24:07.227641
"UCalgary 50th Anniversary International Undergraduate and Graduate Scholarships in Canada, 2018",Need-Based,International,The 50th Anniversary International Undergraduate and Graduate Scholarships are now open to highly talented prospective students to pursue four-year degree programmes. The scholarship money will be awarded to exceptional students from 25 designated countries. The aim of these scholarships is to provide financial help to awarded to exceptional undergraduate and graduate students from 25 designated countries. Summary,"Scholarship can be taken in the Canada Eligibility for the Scholarship: Eligible Countries: List of designated countries (not in any priority order) China (Country of Emphasis), United States (Count",N/A,N/A,Undergraduate Application Process:,https://scholarship-positions.com/ucalgary-50th-anniversary-international-undergraduate-graduate-scholarships-canada/2017/11/07/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:24:22.125679
"NSF-NSFC Joint Research Fellowship, 2017",General,Sri Lanka,"National Science Foundation (NSF) and National Natural Science Foundation, China (NSFC) is delighted to offer its Joint Research Fellowship. The fellowship is available to pursue research programme. The aim of the fellowship is focusing on strengthening bilateral scientific cooperation; NSF and NSFC are calling for proposals on joint research and development from research groups involving members from both countries. The National Science Foundation of Sri Lanka (NSF) was established in 1998 as t","Scholarship can be taken in Sri Lanka, China Eligibility: The following criteria must be met in order for applicants to be eligible for the scholarship: The Principal Investigator (PI) of the Sri Lan",N/A,N/A,for the fellowship.,https://scholarship-positions.com/nsf-nsfc-joint-research-fellowship/2017/10/04/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:24:36.683911
"Graduate School of Humanities and Social Sciences (GSHSS) International Scholarships in Australia, 2021",Merit-Based,Sri Lanka,"­The Graduate School of Humanities and Social Sciences at the University of Melbourne is offering an international scholarship to applicants from India, Japan, South Korea, Sri Lanka, Myanmar, Vietnam, and Thailand only. The Graduate School of Humanities and Social Sciences (GSHSS) International scholarship is given to a select group of high-ranking international students in recognition of their excellent academic results. The University of Melbourne aims to assist international students who req",Number of Scholarships: Not Known Scholarship can be taken in Australia Eligibility The following criteria must be met in order for applicants to be eligible for the scholarship: Nationality: The awa,N/A,N/A,by the published date and have received an unconditional offer to a graduate program at the GSHSS to,https://scholarship-positions.com/graduate-school-humanities-social-sciences-gshss-international-scholarship-australia/2017/09/28/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:24:50.356404
"Master and Short Term Executive Training Programme Under JISPA in Japan, 2017",Government,International,"Master and Short Term Executive Training Programme are open for Asian students. These awards are funded by the government of Japan and administered by the International Monetary Fund (IMF). The aim of the program is to support excellent applicants of Asia. The government of Japan, administered by the International Monetary Fund (IMF) objective is to contribute to institutional capacity building in economic policymaking to promote the sustainable growth of emerging and developing economies in Asi",Number of Scholarships: Not known Scholarship can be taken in Japan Eligibility: Applicants must meet the following eligibility requirements: Applicants must be nationals of Asia Nationality: Asian,N/A,N/A,Applicants can apply via email.,https://scholarship-positions.com/master-short-term-executive-training-progamme-jispa-japan/2017/09/23/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:25:03.022481
"Fully Funded Master Scholarships at KDI School of Public Policy & Management in Korea, 2018",Need-Based,Unknown,Colombo Plan Secretariat and KDI School are delighted to offer Master’s Programs under Colombo Plan Secretariat and KDI School Scholarship for 12 months in Korea. The scholarship is awarded to students from Colombo Plan member countries. The KDI School offers PhD in Public Policy degree and PhD in Development Policy degree. The goal of the PhD program is to prepare qualified candidates to produce cutting-edge research in their chosen field and to equip them with the skills they need to ascend to,College Admission Requirement Entrance Requirements: Students must have a bachelor’s degree holder from an accredited college or university (min,N/A,N/A,Kindly submit the documents as per KDI’s requirements. The candidates are required to apply online a,https://scholarship-positions.com/fully-funded-master-scholarships-kdi-school-public-policy-management-korea/2017/09/22/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:25:15.589255
"LUMS Fully-Funded MBA Scholarships for International Students in Pakistan, 2020",Merit-Based,International,"The Lahore University of Management Sciences is now accepting applications for Fully-Funded MBA Scholarships for International Students in Pakistan. The scholarship provides 100% refund of GRE/GMAT fee to all admitted students. The Masters of Business Administration (MBA) programme at the Suleman Dawood School of Business (SDSB) at LUMS provides an intense and demanding academic experience, involving two years of full-time study. The programme aims at developing global business leaders – individ",It offers: Admission Fee Registration fee Tuition Fee Hostel Accommodation Hostel Registration Summer Orientation Programme Reading Material Number of Scholarships: Not Known Scholarship can be take,N/A,N/A,through the LUMS International Student Programme.,https://scholarship-positions.com/lums-fully-funded-mba-scholarships-international-students-pakistan/2017/09/16/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:25:30.776433
